class,precision,recall,f1,support
AIO_Liquid_Cooler,0.7096774193548387,0.5641025641025641,0.6285714285714286,39
Air_Cooler,0.7674418604651163,0.868421052631579,0.8148148148148148,38
Bad_Cable_Management,0.6785714285714286,0.59375,0.6333333333333333,32
CPU,0.8,0.8,0.8,35
Good_Cable_Management,0.5789473684210527,0.6875,0.6285714285714286,32
Graphics_Card,0.7333333333333333,0.5945945945945946,0.6567164179104478,37
M2_NVMe_Drive,0.7567567567567568,0.8,0.7777777777777778,35
Motherboard,0.6458333333333334,0.8378378378378378,0.7294117647058823,37
PC_Case,0.7692307692307693,0.8695652173913043,0.8163265306122449,46
Power_Supply,0.8260869565217391,0.5277777777777778,0.6440677966101694,36
RAM_Stick,0.8780487804878049,0.9230769230769231,0.9,39
